i,price,dP,A,D,S,prevA,prevD,prevS,split
666,50,3,1,1,3,1,1,1,train
667,50,0,0,0,0,1,1,3,train
668,50,0,0,0,0,0,0,0,train
669,49,-1,1,-1,1,0,0,0,train
670,50,1,1,1,1,1,-1,1,train
671,51,1,1,1,1,1,1,1,train
672,54,3,1,1,3,1,1,1,train
673,52,-2,1,-1,2,1,1,3,train
674,49,-3,1,-1,3,1,-1,2,train
675,50,1,1,1,1,1,-1,3,train
676,51,1,1,1,1,1,1,1,train
677,50,-1,1,-1,1,1,1,1,train
678,48,-2,1,-1,2,1,-1,1,train
679,49,1,1,1,1,1,-1,2,train
680,48,-1,1,-1,1,1,1,1,train
681,48,0,0,0,0,1,-1,1,train
682,47,-1,1,-1,1,0,0,0,train
683,46,-1,1,-1,1,1,-1,1,train
684,46,0,0,0,0,1,-1,1,train
685,46,0,0,0,0,0,0,0,train
686,48,2,1,1,2,0,0,0,train
687,46,-2,1,-1,2,1,1,2,train
688,48,2,1,1,2,1,-1,2,train
689,48,0,0,0,0,1,1,2,train
690,49,1,1,1,1,0,0,0,train
691,48,-1,1,-1,1,1,1,1,train
692,49,1,1,1,1,1,-1,1,train
693,48,-1,1,-1,1,1,1,1,train
694,47,-1,1,-1,1,1,-1,1,train
695,51,4,1,1,4,1,-1,1,train
696,50,-1,1,-1,1,1,1,4,train
697,51,1,1,1,1,1,-1,1,train
698,51,0,0,0,0,1,1,1,train
699,51,0,0,0,0,0,0,0,train
700,47,-4,1,-1,4,0,0,0,train
701,50,3,1,1,3,1,-1,4,train
702,49,-1,1,-1,1,1,1,3,train
703,48,-1,1,-1,1,1,-1,1,train
704,49,1,1,1,1,1,-1,1,train
705,50,1,1,1,1,1,1,1,train
706,52,2,1,1,2,1,1,1,train
707,51,-1,1,-1,1,1,1,2,train
708,50,-1,1,-1,1,1,-1,1,train
709,48,-2,1,-1,2,1,-1,1,train
710,45,-3,1,-1,3,1,-1,2,train
711,46,1,1,1,1,1,-1,3,train
712,47,1,1,1,1,1,1,1,train
713,45,-2,1,-1,2,1,1,1,train
714,46,1,1,1,1,1,-1,2,train
715,43,-3,1,-1,3,1,1,1,train
716,43,0,0,0,0,1,-1,3,train
717,43,0,0,0,0,0,0,0,train
718,43,0,0,0,0,0,0,0,train
719,44,1,1,1,1,0,0,0,train
720,45,1,1,1,1,1,1,1,train
721,45,0,0,0,0,1,1,1,train
722,43,-2,1,-1,2,0,0,0,train
723,44,1,1,1,1,1,-1,2,train
724,47,3,1,1,3,1,1,1,train
725,49,2,1,1,2,1,1,3,train
726,47,-2,1,-1,2,1,1,2,train
727,48,1,1,1,1,1,-1,2,train
728,49,1,1,1,1,1,1,1,train
729,48,-1,1,-1,1,1,1,1,train
730,49,1,1,1,1,1,-1,1,train
731,48,-1,1,-1,1,1,1,1,train
732,48,0,0,0,0,1,-1,1,train
733,50,2,1,1,2,0,0,0,train
734,50,0,0,0,0,1,1,2,train
735,50,0,0,0,0,0,0,0,train
736,49,-1,1,-1,1,0,0,0,train
737,54,5,1,1,5,1,-1,1,train
738,52,-2,1,-1,2,1,1,5,train
739,52,0,0,0,0,1,-1,2,train
740,52,0,0,0,0,0,0,0,train
741,52,0,0,0,0,0,0,0,train
742,53,1,1,1,1,0,0,0,train
743,54,1,1,1,1,1,1,1,train
744,55,1,1,1,1,1,1,1,train
745,55,0,0,0,0,1,1,1,train
746,51,-4,1,-1,4,0,0,0,train
747,49,-2,1,-1,2,1,-1,4,train
748,50,1,1,1,1,1,-1,2,train
749,45,-5,1,-1,5,1,1,1,train
750,39,-6,1,-1,6,1,-1,5,train
751,42,3,1,1,3,1,-1,6,train
752,43,1,1,1,1,1,1,3,train
753,43,0,0,0,0,1,1,1,train
754,44,1,1,1,1,0,0,0,train
755,46,2,1,1,2,1,1,1,train
756,46,0,0,0,0,1,1,2,train
757,47,1,1,1,1,0,0,0,train
758,45,-2,1,-1,2,1,1,1,train
759,46,1,1,1,1,1,-1,2,train
760,49,3,1,1,3,1,1,1,train
761,49,0,0,0,0,1,1,3,train
762,49,0,0,0,0,0,0,0,train
763,49,0,0,0,0,0,0,0,train
764,49,0,0,0,0,0,0,0,train
765,49,0,0,0,0,0,0,0,train
766,50,1,1,1,1,0,0,0,train
767,51,1,1,1,1,1,1,1,train
768,50,-1,1,-1,1,1,1,1,train
769,49,-1,1,-1,1,1,-1,1,train
770,50,1,1,1,1,1,-1,1,train
771,48,-2,1,-1,2,1,1,1,train
772,50,2,1,1,2,1,-1,2,train
773,51,1,1,1,1,1,1,2,train
774,50,-1,1,-1,1,1,1,1,train
775,51,1,1,1,1,1,-1,1,train
776,50,-1,1,-1,1,1,1,1,train
777,52,2,1,1,2,1,-1,1,train
778,51,-1,1,-1,1,1,1,2,train
779,52,1,1,1,1,1,-1,1,train
780,52,0,0,0,0,1,1,1,train
781,52,0,0,0,0,0,0,0,train
782,51,-1,1,-1,1,0,0,0,train
783,52,1,1,1,1,1,-1,1,train
784,52,0,0,0,0,1,1,1,train
785,53,1,1,1,1,0,0,0,train
786,55,2,1,1,2,1,1,1,train
787,54,-1,1,-1,1,1,1,2,train
788,56,2,1,1,2,1,-1,1,train
789,56,0,0,0,0,1,1,2,train
790,55,-1,1,-1,1,0,0,0,train
791,53,-2,1,-1,2,1,-1,1,train
792,53,0,0,0,0,1,-1,2,train
793,52,-1,1,-1,1,0,0,0,train
794,53,1,1,1,1,1,-1,1,train
795,54,1,1,1,1,1,1,1,train
796,53,-1,1,-1,1,1,1,1,train
797,54,1,1,1,1,1,-1,1,train
798,53,-1,1,-1,1,1,1,1,train
799,51,-2,1,-1,2,1,-1,1,train
800,52,1,1,1,1,1,-1,2,train
801,52,0,0,0,0,1,1,1,train
802,58,6,1,1,6,0,0,0,train
803,59,1,1,1,1,1,1,6,train
804,58,-1,1,-1,1,1,1,1,train
805,58,0,0,0,0,1,-1,1,train
806,58,0,0,0,0,0,0,0,train
807,57,-1,1,-1,1,0,0,0,train
808,56,-1,1,-1,1,1,-1,1,train
809,57,1,1,1,1,1,-1,1,train
810,55,-2,1,-1,2,1,1,1,train
811,54,-1,1,-1,1,1,-1,2,train
812,54,0,0,0,0,1,-1,1,train
813,57,3,1,1,3,0,0,0,train
814,58,1,1,1,1,1,1,3,train
815,57,-1,1,-1,1,1,1,1,train
816,57,0,0,0,0,1,-1,1,train
817,56,-1,1,-1,1,0,0,0,train
818,56,0,0,0,0,1,-1,1,train
819,57,1,1,1,1,0,0,0,train
820,56,-1,1,-1,1,1,1,1,train
821,56,0,0,0,0,1,-1,1,train
822,57,1,1,1,1,0,0,0,train
823,56,-1,1,-1,1,1,1,1,train
824,57,1,1,1,1,1,-1,1,train
825,56,-1,1,-1,1,1,1,1,train
826,57,1,1,1,1,1,-1,1,train
827,55,-2,1,-1,2,1,1,1,train
828,56,1,1,1,1,1,-1,2,train
829,56,0,0,0,0,1,1,1,train
830,55,-1,1,-1,1,0,0,0,train
831,56,1,1,1,1,1,-1,1,train
832,56,0,0,0,0,1,1,1,train
833,55,-1,1,-1,1,0,0,0,train
834,55,0,0,0,0,1,-1,1,train
835,55,0,0,0,0,0,0,0,train
836,56,1,1,1,1,0,0,0,train
837,55,-1,1,-1,1,1,1,1,train
838,57,2,1,1,2,1,-1,1,train
839,57,0,0,0,0,1,1,2,train
840,54,-3,1,-1,3,0,0,0,train
841,56,2,1,1,2,1,-1,3,train
842,58,2,1,1,2,1,1,2,train
843,55,-3,1,-1,3,1,1,2,train
844,55,0,0,0,0,1,-1,3,train
845,56,1,1,1,1,0,0,0,train
846,55,-1,1,-1,1,1,1,1,train
847,56,1,1,1,1,1,-1,1,train
848,54,-2,1,-1,2,1,1,1,train
849,51,-3,1,-1,3,1,-1,2,train
850,52,1,1,1,1,1,-1,3,train
851,51,-1,1,-1,1,1,1,1,train
852,51,0,0,0,0,1,-1,1,train
853,51,0,0,0,0,0,0,0,train
854,51,0,0,0,0,0,0,0,train
855,46,-5,1,-1,5,0,0,0,train
856,47,1,1,1,1,1,-1,5,train
857,46,-1,1,-1,1,1,1,1,train
858,47,1,1,1,1,1,-1,1,train
859,44,-3,1,-1,3,1,1,1,train
860,46,2,1,1,2,1,-1,3,train
861,44,-2,1,-1,2,1,1,2,train
862,45,1,1,1,1,1,-1,2,train
863,45,0,0,0,0,1,1,1,train
864,45,0,0,0,0,0,0,0,train
865,45,0,0,0,0,0,0,0,train
866,45,0,0,0,0,0,0,0,train
867,44,-1,1,-1,1,0,0,0,train
868,44,0,0,0,0,1,-1,1,train
869,46,2,1,1,2,0,0,0,train
870,46,0,0,0,0,1,1,2,train
871,46,0,0,0,0,0,0,0,train
872,49,3,1,1,3,0,0,0,train
873,48,-1,1,-1,1,1,1,3,train
874,49,1,1,1,1,1,-1,1,train
875,49,0,0,0,0,1,1,1,train
876,49,0,0,0,0,0,0,0,train
877,49,0,0,0,0,0,0,0,train
878,50,1,1,1,1,0,0,0,train
879,50,0,0,0,0,1,1,1,train
880,48,-2,1,-1,2,0,0,0,train
881,47,-1,1,-1,1,1,-1,2,train
882,48,1,1,1,1,1,-1,1,train
883,48,0,0,0,0,1,1,1,train
884,48,0,0,0,0,0,0,0,train
885,46,-2,1,-1,2,0,0,0,train
886,46,0,0,0,0,1,-1,2,train
887,45,-1,1,-1,1,0,0,0,train
888,46,1,1,1,1,1,-1,1,train
889,45,-1,1,-1,1,1,1,1,train
890,45,0,0,0,0,1,-1,1,train
891,45,0,0,0,0,0,0,0,train
892,43,-2,1,-1,2,0,0,0,train
893,43,0,0,0,0,1,-1,2,train
894,43,0,0,0,0,0,0,0,train
895,43,0,0,0,0,0,0,0,train
896,43,0,0,0,0,0,0,0,train
897,43,0,0,0,0,0,0,0,train
898,41,-2,1,-1,2,0,0,0,train
899,40,-1,1,-1,1,1,-1,2,train
900,41,1,1,1,1,1,-1,1,train
901,43,2,1,1,2,1,1,1,train
902,44,1,1,1,1,1,1,2,train
903,46,2,1,1,2,1,1,1,train
904,46,0,0,0,0,1,1,2,train
905,45,-1,1,-1,1,0,0,0,train
906,44,-1,1,-1,1,1,-1,1,train
907,44,0,0,0,0,1,-1,1,train
908,45,1,1,1,1,0,0,0,train
909,44,-1,1,-1,1,1,1,1,train
910,44,0,0,0,0,1,-1,1,train
911,44,0,0,0,0,0,0,0,train
912,45,1,1,1,1,0,0,0,train
913,44,-1,1,-1,1,1,1,1,train
914,44,0,0,0,0,1,-1,1,train
915,44,0,0,0,0,0,0,0,train
916,43,-1,1,-1,1,0,0,0,train
917,43,0,0,0,0,1,-1,1,train
918,41,-2,1,-1,2,0,0,0,train
919,41,0,0,0,0,1,-1,2,train
920,40,-1,1,-1,1,0,0,0,train
921,40,0,0,0,0,1,-1,1,train
922,41,1,1,1,1,0,0,0,train
923,39,-2,1,-1,2,1,1,1,train
924,38,-1,1,-1,1,1,-1,2,train
925,38,0,0,0,0,1,-1,1,train
926,38,0,0,0,0,0,0,0,train
927,35,-3,1,-1,3,0,0,0,train
928,35,0,0,0,0,1,-1,3,train
929,37,2,1,1,2,0,0,0,train
930,36,-1,1,-1,1,1,1,2,train
931,36,0,0,0,0,1,-1,1,train
932,41,5,1,1,5,0,0,0,train
933,41,0,0,0,0,1,1,5,train
934,41,0,0,0,0,0,0,0,train
935,41,0,0,0,0,0,0,0,train
936,42,1,1,1,1,0,0,0,train
937,45,3,1,1,3,1,1,1,train
938,46,1,1,1,1,1,1,3,train
939,47,1,1,1,1,1,1,1,train
940,44,-3,1,-1,3,1,1,1,train
941,43,-1,1,-1,1,1,-1,3,train
942,46,3,1,1,3,1,-1,1,train
943,47,1,1,1,1,1,1,3,train
944,47,0,0,0,0,1,1,1,train
945,47,0,0,0,0,0,0,0,train
946,45,-2,1,-1,2,0,0,0,train
947,46,1,1,1,1,1,-1,2,train
948,46,0,0,0,0,1,1,1,train
949,46,0,0,0,0,0,0,0,train
950,45,-1,1,-1,1,0,0,0,train
951,45,0,0,0,0,1,-1,1,train
952,44,-1,1,-1,1,0,0,0,train
953,46,2,1,1,2,1,-1,1,train
954,48,2,1,1,2,1,1,2,train
955,47,-1,1,-1,1,1,1,2,train
956,47,0,0,0,0,1,-1,1,train
957,48,1,1,1,1,0,0,0,train
958,47,-1,1,-1,1,1,1,1,train
959,49,2,1,1,2,1,-1,1,train
960,52,3,1,1,3,1,1,2,train
961,52,0,0,0,0,1,1,3,train
962,52,0,0,0,0,0,0,0,train
963,53,1,1,1,1,0,0,0,train
964,52,-1,1,-1,1,1,1,1,train
965,53,1,1,1,1,1,-1,1,train
966,50,-3,1,-1,3,1,1,1,train
967,51,1,1,1,1,1,-1,3,train
968,50,-1,1,-1,1,1,1,1,train
969,51,1,1,1,1,1,-1,1,train
970,47,-4,1,-1,4,1,1,1,train
971,48,1,1,1,1,1,-1,4,train
972,49,1,1,1,1,1,1,1,train
973,49,0,0,0,0,1,1,1,train
974,50,1,1,1,1,0,0,0,train
975,47,-3,1,-1,3,1,1,1,train
976,49,2,1,1,2,1,-1,3,train
977,50,1,1,1,1,1,1,2,train
978,48,-2,1,-1,2,1,1,1,train
979,48,0,0,0,0,1,-1,2,train
980,48,0,0,0,0,0,0,0,train
981,48,0,0,0,0,0,0,0,train
982,48,0,0,0,0,0,0,0,train
983,48,0,0,0,0,0,0,0,train
984,48,0,0,0,0,0,0,0,train
985,48,0,0,0,0,0,0,0,train
986,48,0,0,0,0,0,0,0,train
987,48,0,0,0,0,0,0,0,train
988,47,-1,1,-1,1,0,0,0,train
989,47,0,0,0,0,1,-1,1,train
990,45,-2,1,-1,2,0,0,0,train
991,45,0,0,0,0,1,-1,2,train
992,43,-2,1,-1,2,0,0,0,train
993,43,0,0,0,0,1,-1,2,train
994,43,0,0,0,0,0,0,0,train
995,42,-1,1,-1,1,0,0,0,train
996,42,0,0,0,0,1,-1,1,train
997,40,-2,1,-1,2,0,0,0,train
998,41,1,1,1,1,1,-1,2,train
999,41,0,0,0,0,1,1,1,train
1000,43,2,1,1,2,0,0,0,train
1001,42,-1,1,-1,1,1,1,2,train
1002,43,1,1,1,1,1,-1,1,train
1003,42,-1,1,-1,1,1,1,1,train
1004,43,1,1,1,1,1,-1,1,train
1005,43,0,0,0,0,1,1,1,train
1006,42,-1,1,-1,1,0,0,0,train
1007,43,1,1,1,1,1,-1,1,train
1008,43,0,0,0,0,1,1,1,train
1009,44,1,1,1,1,0,0,0,train
1010,40,-4,1,-1,4,1,1,1,train
1011,38,-2,1,-1,2,1,-1,4,train
1012,37,-1,1,-1,1,1,-1,2,train
1013,37,0,0,0,0,1,-1,1,train
1014,37,0,0,0,0,0,0,0,train
1015,34,-3,1,-1,3,0,0,0,train
1016,37,3,1,1,3,1,-1,3,train
1017,37,0,0,0,0,1,1,3,train
1018,38,1,1,1,1,0,0,0,train
1019,37,-1,1,-1,1,1,1,1,train
1020,38,1,1,1,1,1,-1,1,train
1021,37,-1,1,-1,1,1,1,1,train
1022,38,1,1,1,1,1,-1,1,train
1023,39,1,1,1,1,1,1,1,train
1024,37,-2,1,-1,2,1,1,1,train
1025,37,0,0,0,0,1,-1,2,train
1026,37,0,0,0,0,0,0,0,train
1027,38,1,1,1,1,0,0,0,train
1028,37,-1,1,-1,1,1,1,1,train
1029,39,2,1,1,2,1,-1,1,train
1030,39,0,0,0,0,1,1,2,train
1031,39,0,0,0,0,0,0,0,train
1032,39,0,0,0,0,0,0,0,train
1033,41,2,1,1,2,0,0,0,train
1034,42,1,1,1,1,1,1,2,train
1035,42,0,0,0,0,1,1,1,train
1036,42,0,0,0,0,0,0,0,train
1037,41,-1,1,-1,1,0,0,0,train
1038,42,1,1,1,1,1,-1,1,train
1039,44,2,1,1,2,1,1,1,train
1040,42,-2,1,-1,2,1,1,2,train
1041,45,3,1,1,3,1,-1,2,train
1042,43,-2,1,-1,2,1,1,3,train
1043,44,1,1,1,1,1,-1,2,train
1044,43,-1,1,-1,1,1,1,1,train
1045,45,2,1,1,2,1,-1,1,train
1046,44,-1,1,-1,1,1,1,2,train
1047,45,1,1,1,1,1,-1,1,train
1048,44,-1,1,-1,1,1,1,1,train
1049,45,1,1,1,1,1,-1,1,train
1050,44,-1,1,-1,1,1,1,1,train
1051,51,7,1,1,7,1,-1,1,train
1052,56,5,1,1,5,1,1,7,train
1053,54,-2,1,-1,2,1,1,5,train
1054,54,0,0,0,0,1,-1,2,train
1055,54,0,0,0,0,0,0,0,train
1056,53,-1,1,-1,1,0,0,0,train
1057,53,0,0,0,0,1,-1,1,train
1058,53,0,0,0,0,0,0,0,train
1059,53,0,0,0,0,0,0,0,train
1060,54,1,1,1,1,0,0,0,train
1061,51,-3,1,-1,3,1,1,1,train
1062,52,1,1,1,1,1,-1,3,train
1063,53,1,1,1,1,1,1,1,train
1064,53,0,0,0,0,1,1,1,train
1065,53,0,0,0,0,0,0,0,train
1066,54,1,1,1,1,0,0,0,train
1067,54,0,0,0,0,1,1,1,train
1068,54,0,0,0,0,0,0,0,train
1069,53,-1,1,-1,1,0,0,0,train
1070,52,-1,1,-1,1,1,-1,1,train
1071,53,1,1,1,1,1,-1,1,train
1072,52,-1,1,-1,1,1,1,1,train
1073,51,-1,1,-1,1,1,-1,1,train
1074,51,0,0,0,0,1,-1,1,train
1075,50,-1,1,-1,1,0,0,0,train
1076,50,0,0,0,0,1,-1,1,train
1077,49,-1,1,-1,1,0,0,0,train
1078,50,1,1,1,1,1,-1,1,train
1079,51,1,1,1,1,1,1,1,train
1080,50,-1,1,-1,1,1,1,1,train
1081,51,1,1,1,1,1,-1,1,train
1082,53,2,1,1,2,1,1,1,train
1083,55,2,1,1,2,1,1,2,train
1084,51,-4,1,-1,4,1,1,2,train
1085,51,0,0,0,0,1,-1,4,train
1086,51,0,0,0,0,0,0,0,train
1087,46,-5,1,-1,5,0,0,0,train
1088,46,0,0,0,0,1,-1,5,train
1089,47,1,1,1,1,0,0,0,train
1090,46,-1,1,-1,1,1,1,1,train
1091,47,1,1,1,1,1,-1,1,train
1092,46,-1,1,-1,1,1,1,1,train
1093,46,0,0,0,0,1,-1,1,train
1094,45,-1,1,-1,1,0,0,0,train
1095,46,1,1,1,1,1,-1,1,train
1096,44,-2,1,-1,2,1,1,1,train
1097,45,1,1,1,1,1,-1,2,train
1098,44,-1,1,-1,1,1,1,1,train
1099,49,5,1,1,5,1,-1,1,train
1100,49,0,0,0,0,1,1,5,train
1101,49,0,0,0,0,0,0,0,train
1102,50,1,1,1,1,0,0,0,train
1103,51,1,1,1,1,1,1,1,train
1104,50,-1,1,-1,1,1,1,1,train
1105,52,2,1,1,2,1,-1,1,train
1106,51,-1,1,-1,1,1,1,2,train
1107,52,1,1,1,1,1,-1,1,train
1108,53,1,1,1,1,1,1,1,train
1109,53,0,0,0,0,1,1,1,train
1110,52,-1,1,-1,1,0,0,0,train
1111,53,1,1,1,1,1,-1,1,train
1112,53,0,0,0,0,1,1,1,train
1113,54,1,1,1,1,0,0,0,train
1114,54,0,0,0,0,1,1,1,train
1115,54,0,0,0,0,0,0,0,train
1116,54,0,0,0,0,0,0,0,train
1117,54,0,0,0,0,0,0,0,train
1118,54,0,0,0,0,0,0,0,train
1119,53,-1,1,-1,1,0,0,0,train
1120,54,1,1,1,1,1,-1,1,train
1121,53,-1,1,-1,1,1,1,1,train
1122,53,0,0,0,0,1,-1,1,train
1123,52,-1,1,-1,1,0,0,0,train
1124,52,0,0,0,0,1,-1,1,train
1125,51,-1,1,-1,1,0,0,0,train
1126,52,1,1,1,1,1,-1,1,train
1127,48,-4,1,-1,4,1,1,1,train
1128,49,1,1,1,1,1,-1,4,train
1129,49,0,0,0,0,1,1,1,train
1130,49,0,0,0,0,0,0,0,train
1131,48,-1,1,-1,1,0,0,0,train
1132,48,0,0,0,0,1,-1,1,train
1133,48,0,0,0,0,0,0,0,train
1134,48,0,0,0,0,0,0,0,train
1135,47,-1,1,-1,1,0,0,0,train
1136,47,0,0,0,0,1,-1,1,train
1137,44,-3,1,-1,3,0,0,0,train
1138,46,2,1,1,2,1,-1,3,train
1139,47,1,1,1,1,1,1,2,train
1140,46,-1,1,-1,1,1,1,1,train
1141,47,1,1,1,1,1,-1,1,train
1142,46,-1,1,-1,1,1,1,1,train
1143,45,-1,1,-1,1,1,-1,1,train
1144,46,1,1,1,1,1,-1,1,train
1145,44,-2,1,-1,2,1,1,1,train
1146,45,1,1,1,1,1,-1,2,train
1147,43,-2,1,-1,2,1,1,1,train
1148,43,0,0,0,0,1,-1,2,train
1149,42,-1,1,-1,1,0,0,0,train
1150,41,-1,1,-1,1,1,-1,1,train
1151,38,-3,1,-1,3,1,-1,1,train
1152,40,2,1,1,2,1,-1,3,train
1153,40,0,0,0,0,1,1,2,train
1154,39,-1,1,-1,1,0,0,0,train
1155,38,-1,1,-1,1,1,-1,1,train
1156,36,-2,1,-1,2,1,-1,1,train
1157,36,0,0,0,0,1,-1,2,train
1158,35,-1,1,-1,1,0,0,0,train
1159,37,2,1,1,2,1,-1,1,train
1160,37,0,0,0,0,1,1,2,train
1161,37,0,0,0,0,0,0,0,train
1162,37,0,0,0,0,0,0,0,train
1163,36,-1,1,-1,1,0,0,0,train
1164,38,2,1,1,2,1,-1,1,train
1165,37,-1,1,-1,1,1,1,2,train
1166,38,1,1,1,1,1,-1,1,train
1167,39,1,1,1,1,1,1,1,train
1168,38,-1,1,-1,1,1,1,1,train
1169,39,1,1,1,1,1,-1,1,train
1170,38,-1,1,-1,1,1,1,1,train
1171,38,0,0,0,0,1,-1,1,train
1172,39,1,1,1,1,0,0,0,train
1173,41,2,1,1,2,1,1,1,train
1174,40,-1,1,-1,1,1,1,2,train
1175,41,1,1,1,1,1,-1,1,train
1176,39,-2,1,-1,2,1,1,1,train
1177,39,0,0,0,0,1,-1,2,train
1178,38,-1,1,-1,1,0,0,0,train
1179,36,-2,1,-1,2,1,-1,1,train
1180,36,0,0,0,0,1,-1,2,train
1181,36,0,0,0,0,0,0,0,train
1182,35,-1,1,-1,1,0,0,0,train
1183,35,0,0,0,0,1,-1,1,train
1184,35,0,0,0,0,0,0,0,train
1185,36,1,1,1,1,0,0,0,train
1186,38,2,1,1,2,1,1,1,train
1187,37,-1,1,-1,1,1,1,2,train
1188,39,2,1,1,2,1,-1,1,train
1189,40,1,1,1,1,1,1,2,train
1190,40,0,0,0,0,1,1,1,train
1191,38,-2,1,-1,2,0,0,0,train
1192,38,0,0,0,0,1,-1,2,train
1193,39,1,1,1,1,0,0,0,train
1194,38,-1,1,-1,1,1,1,1,train
1195,39,1,1,1,1,1,-1,1,train
1196,38,-1,1,-1,1,1,1,1,train
1197,38,0,0,0,0,1,-1,1,train
1198,38,0,0,0,0,0,0,0,train
1199,39,1,1,1,1,0,0,0,train
1200,41,2,1,1,2,1,1,1,train
1201,42,1,1,1,1,1,1,2,train
1202,41,-1,1,-1,1,1,1,1,train
1203,41,0,0,0,0,1,-1,1,train
1204,41,0,0,0,0,0,0,0,train
1205,42,1,1,1,1,0,0,0,train
1206,42,0,0,0,0,1,1,1,train
1207,40,-2,1,-1,2,0,0,0,train
1208,40,0,0,0,0,1,-1,2,train
1209,38,-2,1,-1,2,0,0,0,train
1210,37,-1,1,-1,1,1,-1,2,train
1211,36,-1,1,-1,1,1,-1,1,train
1212,37,1,1,1,1,1,-1,1,train
1213,37,0,0,0,0,1,1,1,train
1214,38,1,1,1,1,0,0,0,train
1215,38,0,0,0,0,1,1,1,train
1216,35,-3,1,-1,3,0,0,0,train
1217,33,-2,1,-1,2,1,-1,3,train
1218,35,2,1,1,2,1,-1,2,train
1219,35,0,0,0,0,1,1,2,train
1220,35,0,0,0,0,0,0,0,train
1221,35,0,0,0,0,0,0,0,train
1222,33,-2,1,-1,2,0,0,0,train
1223,34,1,1,1,1,1,-1,2,train
1224,34,0,0,0,0,1,1,1,train
1225,33,-1,1,-1,1,0,0,0,train
1226,34,1,1,1,1,1,-1,1,train
1227,34,0,0,0,0,1,1,1,train
1228,33,-1,1,-1,1,0,0,0,train
1229,33,0,0,0,0,1,-1,1,train
1230,33,0,0,0,0,0,0,0,train
1231,34,1,1,1,1,0,0,0,train
1232,33,-1,1,-1,1,1,1,1,train
1233,34,1,1,1,1,1,-1,1,train
1234,32,-2,1,-1,2,1,1,1,train
1235,32,0,0,0,0,1,-1,2,train
1236,33,1,1,1,1,0,0,0,train
1237,30,-3,1,-1,3,1,1,1,train
1238,32,2,1,1,2,1,-1,3,train
1239,31,-1,1,-1,1,1,1,2,train
1240,29,-2,1,-1,2,1,-1,1,train
1241,29,0,0,0,0,1,-1,2,train
1242,28,-1,1,-1,1,0,0,0,train
1243,29,1,1,1,1,1,-1,1,train
1244,31,2,1,1,2,1,1,1,train
1245,31,0,0,0,0,1,1,2,train
1246,31,0,0,0,0,0,0,0,train
1247,30,-1,1,-1,1,0,0,0,train
1248,29,-1,1,-1,1,1,-1,1,train
1249,30,1,1,1,1,1,-1,1,train
1250,30,0,0,0,0,1,1,1,train
1251,31,1,1,1,1,0,0,0,train
1252,27,-4,1,-1,4,1,1,1,train
1253,27,0,0,0,0,1,-1,4,train
1254,27,0,0,0,0,0,0,0,train
1255,26,-1,1,-1,1,0,0,0,train
1256,27,1,1,1,1,1,-1,1,train
1257,27,0,0,0,0,1,1,1,train
1258,27,0,0,0,0,0,0,0,train
1259,27,0,0,0,0,0,0,0,train
1260,29,2,1,1,2,0,0,0,train
1261,27,-2,1,-1,2,1,1,2,train
1262,27,0,0,0,0,1,-1,2,train
1263,27,0,0,0,0,0,0,0,train
1264,28,1,1,1,1,0,0,0,train
1265,27,-1,1,-1,1,1,1,1,train
1266,28,1,1,1,1,1,-1,1,train
1267,30,2,1,1,2,1,1,1,train
1268,29,-1,1,-1,1,1,1,2,train
1269,30,1,1,1,1,1,-1,1,train
1270,27,-3,1,-1,3,1,1,1,train
1271,29,2,1,1,2,1,-1,3,train
1272,31,2,1,1,2,1,1,2,train
1273,30,-1,1,-1,1,1,1,2,train
1274,32,2,1,1,2,1,-1,1,train
1275,30,-2,1,-1,2,1,1,2,train
1276,30,0,0,0,0,1,-1,2,train
1277,31,1,1,1,1,0,0,0,train
1278,30,-1,1,-1,1,1,1,1,train
1279,30,0,0,0,0,1,-1,1,train
1280,31,1,1,1,1,0,0,0,train
1281,31,0,0,0,0,1,1,1,train
1282,33,2,1,1,2,0,0,0,train
1283,34,1,1,1,1,1,1,2,train
1284,35,1,1,1,1,1,1,1,train
1285,36,1,1,1,1,1,1,1,train
1286,37,1,1,1,1,1,1,1,train
1287,38,1,1,1,1,1,1,1,train
1288,38,0,0,0,0,1,1,1,train
1289,38,0,0,0,0,0,0,0,train
1290,37,-1,1,-1,1,0,0,0,train
1291,37,0,0,0,0,1,-1,1,train
1292,38,1,1,1,1,0,0,0,train
1293,35,-3,1,-1,3,1,1,1,train
1294,35,0,0,0,0,1,-1,3,train
1295,36,1,1,1,1,0,0,0,train
1296,35,-1,1,-1,1,1,1,1,train
1297,35,0,0,0,0,1,-1,1,train
1298,35,0,0,0,0,0,0,0,train
1299,35,0,0,0,0,0,0,0,train
1300,35,0,0,0,0,0,0,0,train
1301,36,1,1,1,1,0,0,0,train
1302,38,2,1,1,2,1,1,1,train
1303,37,-1,1,-1,1,1,1,2,train
1304,37,0,0,0,0,1,-1,1,train
1305,38,1,1,1,1,0,0,0,train
1306,37,-1,1,-1,1,1,1,1,train
1307,37,0,0,0,0,1,-1,1,train
1308,36,-1,1,-1,1,0,0,0,train
1309,37,1,1,1,1,1,-1,1,train
1310,33,-4,1,-1,4,1,1,1,train
1311,35,2,1,1,2,1,-1,4,train
1312,34,-1,1,-1,1,1,1,2,train
1313,34,0,0,0,0,1,-1,1,train
1314,35,1,1,1,1,0,0,0,train
1315,29,-6,1,-1,6,1,1,1,train
